"stage","candidate","LL","gradNorm","mu_scalingFactor","sigma_scalingFactor","mu_wtp_Acceleration","sigma_wtp_Acceleration","mu_wtp_OpCost","sigma_wtp_OpCost","mu_wtp_hev","sigma_wtp_hev","mu_wtp_phev20","sigma_wtp_phev20","mu_wtp_phev40","sigma_wtp_phev40","mu_wtp_bev","sigma_wtp_bev","mu_wtp_bevRangeRel","sigma_wtp_bevRangeRel","mu_wtp_noBEVFC","sigma_wtp_noBEVFC","mu_wtp_american","sigma_wtp_american","mu_wtp_chinese","sigma_wtp_chinese","mu_wtp_japanese","sigma_wtp_japanese","mu_wtp_skorean","sigma_wtp_skorean"
1,1,-9336.048053076,NA,0.065961032,0,-1.31478120293812,0,-1.87169583702086,0,1.19445465922971,0,0.262838762134589,0,2.021209219407,0,-3.41554368039603,0,4.63540158073937,0,-3.96663616481925,0,-1.71796446423094,0,-18.2474313773623,0,-0.875678233778998,0,-5.95415467423251,0
1,2,-10303.7322557663,NA,-0.000989990426737655,0.0418113981378621,-3.15556284732293,0.901112655141895,0.81387393906637,2.31981882845817,0.248021491998643,1.0793351736015,0.455629984336338,0.180001861245524,3.71886113628972,-1.07969008124028,-7.64689466786642,4.25782418908079,1.62713176547112,-3.59040783274224,-5.67522463271244,6.23345640967815,-4.68452735239956,2.28386112898816,-24.567687912177,-10.2781955906769,-1.20905261837584,0.420152318639669,-13.3542666006843,-2.72230269974708
1,3,-9729.30737252791,NA,0.0607081106338078,-0.112627700921708,-2.91687705032102,0.601819800040155,0.377875043118935,3.44307018417625,0.422882339192972,-0.30713751690293,0.150702241982373,0.46962477962161,2.08530018934501,-1.78352163203552,-4.71576494449277,1.84837821223744,4.08248765874657,4.85561932261478,1.68936172229133,0.763174663617318,-2.78597237416966,0.264156813804581,1.06421297941722,-15.7532365137443,-0.0889994998223749,-0.231597773454448,-2.93912509888281,0.593866109149959
1,4,-9543.88450638425,NA,0.0505929675890683,0.00129854488670962,-2.89335479754604,2.4281279116461,-0.750782505640269,4.18391580420649,0.432161858586295,-0.515257894030564,0.296611363591011,-0.082843471370683,2.47893111059337,1.05483474463732,-5.13351350383685,1.11121390964657,5.09830911925707,-2.93867238543166,-3.10127432764423,3.7442198085885,-3.44958430048158,-0.286180505848171,-36.5187336296513,-6.35440010350625,-1.69172450960261,0.01611356210297,-4.99923021032819,2.24972842954421
1,5,-10380.7026764661,NA,0.0120531956742222,-0.0197089167272528,1.8317736983149,-4.47186556695987,-0.362769114993868,-2.87778319300836,1.06704224456712,0.446759926596865,0.327227936608279,-0.132701731251894,2.59052529943777,2.05305596695249,-2.52288662941075,3.76189386636834,9.66872927273886,-3.82746470905868,-0.679154564814591,6.62570416814059,-1.49530996497614,1.95853903646877,-20.4903166757559,-22.3236091882165,-0.589231998203097,-0.743236132729979,-0.128268964832904,2.02809857685333
1,6,-10089.7807159322,NA,0.116888940551391,-0.0291391318660537,-3.79742324050442,0.0347659240019078,-0.407394388010097,-2.61932661860392,0.960074923652413,-1.73047305061917,0.0929145011496752,0.159903037235568,0.787227933771332,1.28956657813924,-6.18838350913942,-3.47384470900749,12.499314522613,-8.61696162464859,-4.83141380160225,1.75697885140307,-5.57122935523673,0.221561030895492,-27.3923663577921,0.362194573652751,0.14901714361609,-0.464244641398255,-2.84132679998012,2.1245559677797
1,7,-9398.44293531652,NA,0.0550370978347229,0.0389813417193666,-0.599491977861007,0.486889519795025,-1.73766467898402,1.38151517348175,2.0842805108007,-0.592820259735417,0.491030244774489,0.420863858292156,1.19060096347056,-2.53842118763588,-11.9100913236173,-2.42681254876126,7.90409048876718,-3.86897523196103,-9.5803617854635,-3.16576373025641,-1.96257801289917,-3.91215045618826,-27.9508621105485,-47.6481980107333,-1.4548747071188,-0.182886533799117,1.80389612073302,2.34290279661385
1,8,-10002.7261434252,NA,0.130132833152252,-0.0748209711347047,-2.34671561676067,-1.05358830683568,-3.75705435530611,0.98431172264452,2.18507434127959,1.83875974912651,0.220957549556718,-0.379170701580176,0.894254420266283,0.894838904174458,-0.202517838554099,-3.00415230642196,6.97144733392037,1.41417298923713,5.91204417015852,4.17250588012369,1.02177058659527,-0.254736799297879,-26.4236921167896,11.4584529760782,-1.33986369010811,-0.58370215438578,8.16871047603913,5.45306130089667
1,9,-11473.4486641256,NA,0.179185384733324,-0.0289400457960296,0.523776586765627,0.00303993517446864,-2.91407222824673,0.323200779506331,2.13410124893658,2.07737585660758,0.447852261806395,-0.16320000189496,5.12503368579615,-1.09356044091413,-2.69096695152527,-3.89126138201403,6.76160016476089,0.31212898907397,-3.45547933805073,-3.45340148764594,-4.38395769908323,1.92640984354109,-27.7709194367334,8.04115590328601,-0.938222102372175,1.83578957030112,-3.99692658030589,-8.39813350745361
1,10,-10322.2980525432,NA,0.0827967282211229,0.0227500502184837,-0.21531526352871,-1.4137775904892,-7.08694215073255,1.70003253116918,0.467811446925406,0.305302953531713,0.3737090565881,0.505275354171296,1.32810127387485,1.28258101514287,-6.1403726548018,2.4114942966865,10.8195215059203,-6.17769720572416,-0.935874086904936,-2.70070370904562,-2.56926069932484,-1.30561095710372,-40.4548852450212,-15.1516600300789,-1.35530044989714,2.3291231069115,-12.5969510765167,-1.86184438087993
