"stage","candidate","LL","gradNorm","b_Price_1","b_Acceleration_1","b_OpCost_1","b_hev_1","b_phev20_1","b_phev40_1","b_bev_1","b_bevRangeRel_1","b_noBEVFC_1","b_american_1","b_chinese_1","b_japanese_1","b_skorean_1","lambda_ICE_1","lambda_PHEV_1","lambda_BEV_1","b_Price_2","b_Acceleration_2","b_OpCost_2","b_hev_2","b_phev20_2","b_phev40_2","b_bev_2","b_bevRangeRel_2","b_noBEVFC_2","b_american_2","b_chinese_2","b_japanese_2","b_skorean_2","lambda_ICE_2","lambda_PHEV_2","lambda_BEV_2","class_intercept_2","b_Price_3","b_Acceleration_3","b_OpCost_3","b_hev_3","b_phev20_3","b_phev40_3","b_bev_3","b_bevRangeRel_3","b_noBEVFC_3","b_american_3","b_chinese_3","b_japanese_3","b_skorean_3","lambda_ICE_3","lambda_PHEV_3","lambda_BEV_3","class_intercept_3","b_Price_4","b_Acceleration_4","b_OpCost_4","b_hev_4","b_phev20_4","b_phev40_4","b_bev_4","b_bevRangeRel_4","b_noBEVFC_4","b_american_4","b_chinese_4","b_japanese_4","b_skorean_4","lambda_ICE_4","lambda_PHEV_4","lambda_BEV_4","class_intercept_4"
1,1,-9336.00944952447,NA,-0.065961032,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,1,1,1,-0.06530142168,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,1,1,1,0,-0.06464181136,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,1,1,1,0,-0.06398220104,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,1,1,1,0
1,2,-10305.6800191693,NA,-0.132912054426738,-0.0317514846597768,-0.296309833138667,0.132786088475688,0.0422129712608777,0.298561928959281,-0.403804848689593,0.582043518948123,-0.0697289753289601,-0.0357137987946508,-0.19267666316203,-0.088615234118855,-0.879291385688933,0.885853732856922,0.48685960337054,0.263013034095056,-0.153288952210693,-0.262732749706913,0.0624114716169582,0.180360913829444,0.0102572647514674,0.18505701864468,0.0701262341858362,0.226107601993933,0.0309525841729235,-0.259420771589974,-0.57327827984236,-0.124590335704268,-0.68586048238304,0.366887455838732,0.48931577314157,0.711718644252978,-0.0541562322046004,-0.112848067151392,0.0991456331420531,0.0592758347352313,0.0447629329450448,0.0121387979016246,0.246461935312003,-0.629382396280212,0.201723837175314,-0.927052213422227,-0.201333199365747,-0.86846191832483,-0.0474932047570274,-0.434785344543033,0.166285407012329,0.242264245371334,0.0287207925412804,0.140481490832526,0.015124492968186,-0.0273500109398884,-0.186378447803907,0.0769177364441665,-0.021781009932028,0.244328220220603,-0.25897313657162,-0.355768760061486,-0.458982099391389,-0.0912008269799181,-1.53099451673288,-0.103004542415063,-0.555818814557715,0.965164234703407,0.835356745971367,0.57362562162336,1.29981791330553
1,3,-10261.8374689542,NA,-0.0712139533661922,-0.234805109101998,-0.273897049079491,0.114851146604367,0.0381744072562988,0.378571213963414,-0.370823364526657,0.227134972848306,-0.373269956840957,0.0891524688009366,-1.16545357121991,-0.108728817826955,-0.542250373874088,0.67419874003157,0.215430199909024,0.0294260086491704,-0.0995620842160974,-0.324001447775707,-0.0871055685752962,0.13924824565847,0.0317746082773882,0.461849923913537,0.019502921642158,-0.360310732072751,-0.654596066545398,-0.13091965799495,-1.76435900884613,-0.0902369795494534,0.0547128191874626,0.626596752232872,0.49862176975701,0.186397380270064,-0.591028350897768,-0.175695275662128,-0.0380781912725697,0.0717938443625727,0.121120651571241,0.0303178376950307,0.0831112387815992,-0.222010194656691,0.537497667230866,-0.0515652330749908,-0.244123278221709,-0.0211129103924776,-0.0895364894997647,-0.55873947037622,0.119703888776712,0.316430689189583,0.222705961726606,-0.173613401434627,-0.0938949590096957,-0.152666784076307,-0.135336580554692,0.0579087527055845,-0.00250667353079171,0.0311952230068648,0.0109760807667149,0.587524878225393,-0.0737050871113874,-0.0850775428438443,-2.44857093037377,-0.0285947367369292,-0.193963650416014,0.75058334688656,0.357280921395868,0.778685551439412,1.03488545801032
1,4,-9723.27669524281,NA,-0.0813290964109317,-0.0850170225917828,-0.271688291044229,0.224291546742349,0.0277198951181197,0.431341707455648,-0.369073102379234,0.173860428772547,-0.228024405738469,-0.149035340552226,-0.931048438553067,-0.0276163435266425,-0.590285913209914,0.701687556202523,0.36959819230251,0.453475964735262,-0.121803389186635,-0.132039821982425,0.0198397129465968,0.106398663293584,0.0184115784255287,0.270268151881422,0.0578359891299991,0.352972884329999,0.266094690597116,-0.136537212056499,-2.54307676201489,-0.000741579185137294,-0.634215704806354,0.877638045768254,0.555736332214437,0.278203713805415,-1.01405050506505,-0.153976192089239,-0.0290618403480777,-0.196139362438514,0.0976787947863537,0.0448495983188176,0.237418497768627,-0.062682587205449,0.0937612361390492,-0.552640748979034,-0.146788065419043,-2.02523058439774,-0.104335042692394,-0.16468332373897,0.101240360173397,0.208025783989578,0.43740843641106,-0.74893552519784,-0.0260401169689809,-0.213967575732232,-0.147235704666567,0.110434985866121,0.0355491768882874,0.21643202712175,0.097535589796669,0.0725199886908732,-0.176135765124061,-0.16834089482386,-0.67242610345075,-0.0012716517154471,-0.909312672916716,0.145804912159219,0.796905127777718,0.574650389072485,0.102160442936821
1,5,-11203.6600348001,NA,-0.119868868325778,-0.112637238243265,0.172004990918167,-0.189186355726188,0.0313139797071506,-0.071663683817945,-0.249324755441883,0.420117241747908,-0.197547071821742,-0.170530928177282,-0.864594689040799,0.000910093078184897,-0.290098474826986,0.221902657710016,0.742886021682061,0.185152029683813,-0.0220177578487729,-0.278063340662074,-0.39888513615997,0.120801099105044,0.00379379170623747,0.255761957740984,-0.16999337879178,0.484693362470269,-0.159778191908834,0.113604428067786,-1.44105906609083,-0.0650974308281752,0.272948119403218,0.847979026003741,0.114980680178851,0.309009046815336,0.0343736807369984,-0.0344677095085763,-0.0806047317938362,-0.121539005992091,0.166175189964629,0.019937281814258,0.0206714507279457,-0.365868466671529,0.198169684605283,-0.264785065336275,-0.0487820566051993,-2.95361726640925,-0.0723732754301962,-0.392746316964255,0.175795285338536,0.895465290551074,0.324056801963598,0.378384162223002,-0.104651107142736,-0.257078364493914,-0.277713164326368,0.018357656308262,-0.00397946163741983,0.252569727123743,-0.431632596092997,0.297084388051528,-0.581675303013017,-0.0739198719259233,-1.91723844755222,-0.0842654951491482,0.311477562752382,0.775013886285014,0.475571955684572,0.0369582862220705,-0.246557364217395
1,6,-10606.0186563462,NA,-0.0150331234486085,-0.125035907847423,-0.356581028866325,0.0808707887999832,0.0309006254005847,-0.0532538010989543,-0.269500461194808,-0.137209704362502,-0.430794888604484,-0.0443790838185552,-1.93844873713301,-0.0209083487276567,-0.711581961994509,0.624987461329438,0.140049960147589,0.538978191604838,-0.127797129576185,-0.0417268056202652,-0.199214694213328,-0.00706532347317078,-0.0059396231409086,0.345605435586042,-0.136098545334769,0.461822330467948,-0.29657288397072,0.0854838880900569,-1.80523755544779,-0.169880642556855,-0.434240748078829,0.395211762483232,0.143358053257689,0.662739232121967,-0.425537802378237,-0.013034862570459,0.0764446018517688,-0.481154693957965,-0.0249185510261031,-0.00179797785690831,0.209389341053957,-0.305301139413788,0.509530920150093,-0.340777704402352,0.0516644900281328,-0.460037801183504,0.00164105203371449,-0.89355767739341,0.137243080502376,0.648693689419888,0.265520817744546,-0.109526134180569,-0.174460371543532,-0.190544435961543,-0.256282696505798,-0.0108858529267508,0.000998901632544284,0.0756078669584035,-0.0586165003532086,0.0142868013655467,-0.440882463146706,0.0472659902988315,-1.28022507323786,-0.0531276831843209,-0.00490580888973735,0.642333591128699,0.282561515383422,0.584687870559283,-0.650235349896601
1,7,-9829.58162108426,NA,-0.0768849661652772,-0.0354723896420691,-0.0562927682073148,0.10796401963052,0.0185786177913368,0.231726483651997,-0.0574577462969998,0.154006055417125,-0.0344897094090248,0.0681299810604298,-1.6982422303855,-0.130301785656572,-1.3695024135264,0.479549244437367,0.521739922864363,0.618075629789382,-0.0944597915719685,-0.109716941928321,-0.150731716646354,0.0126207013401148,0.0225201359749669,0.242597842012939,-0.198880056514125,0.411556867611465,-0.32408436579496,-0.105012416595026,0.221383436432888,0.0108678477227839,0.528667497612538,0.637784777767956,0.503933576084673,0.962143624671735,0.356678799138128,0.0037463930264626,-0.167704967523131,-0.333879665692642,0.105431243653649,-0.0343423418336086,0.238928413245604,-0.402292086580783,0.193567959811916,-0.721266439302774,0.096928350603437,0.483359032898316,-0.000415864256044271,0.00641171221756043,0.0997566601354629,0.161173750380985,0.45949180431664,0.0450613294886651,-0.138134688554384,-0.109253184558495,0.137653416969296,0.0570293676756261,0.0241672531300018,0.152241290616544,-0.503526047239809,0.855408450379902,-0.316439624095416,-0.211080836337651,-1.85610088000484,-0.155376679236222,-0.322224902122006,0.560674127079546,0.304501083679497,0.136669066515751,0.6165034761886
1,8,-10947.3115685103,NA,-0.00178923084774839,-0.185097531433486,-0.220358442049782,0.0156518250567884,-0.000126554478172395,0.20343364969201,-0.0384464571662388,0.776440620180598,-0.303334158763296,-0.276792064469876,-1.87471503022261,-0.0321885877326055,-0.02328686331162,0.857346800053492,0.610036411811598,0.854001691639423,0.0805812147935416,-0.209019276034564,-0.153061360083236,0.0711360735133695,0.00710348011694325,0.223092869330531,-0.129536973655257,0.561619697948647,-0.148277187385065,-0.0603304651300501,-0.0291513800863321,-0.0289580296184768,-0.13032472326757,0.152790120132267,0.103796811518259,0.198551927725784,0.236406018564386,-0.0466505921070568,-0.0838487380763609,-0.134670731927495,-0.0380256007383466,0.00727598124913629,0.137661676776557,-0.10092590197004,-0.072515421477824,0.0139228384640828,-0.0638939546124252,-1.12212272740636,-0.00927465003923057,-0.603633169344943,0.463900137771852,0.561965959910303,0.201959124575369,-0.93351806172312,-0.0411822464039052,-0.149385321572237,-0.0336479214992131,0.143938174024341,0.0139850294756611,0.18159677743641,-0.0775301193334135,0.554283393988249,0.245445068764928,0.187528668449243,0.672317434237422,-0.105150870640815,-0.359497897318805,0.834344017440453,0.813025031397119,0.051281216670759,0.293198527614305
1,9,-10425.6365141905,NA,0.0472633207333241,-0.124774153224788,0.0491830334351064,0.0789696282619649,0.00768180766790008,0.156342663689968,-0.0480607777235375,0.837521445185013,-0.0774713260657001,-0.1836797675187,0.644691656313983,-0.0890116111213439,-0.309425480854696,0.637746538082138,0.845757617191412,0.0434029314341024,0.0102542187774594,0.00975193477216532,-0.141229555825082,0.115339182595738,0.0374972997439749,0.105061617960644,0.126283136240146,0.160061376569333,-0.401567756847293,0.00489486150228816,-0.512581296315098,-0.0780596234085508,-0.464429931529186,0.738812468587421,0.377294126786292,0.126583511955105,-0.0883844847101298,-0.0490424190197093,-0.078448559962281,-0.0621793573482326,0.184705415706404,0.0169933976020426,0.265250134314467,-0.308888878174388,0.4066345370438,-0.570078643443487,-0.0437943688355986,-1.74222354949877,-0.0443618107485377,-1.2542358178213,0.611856253268197,0.51224120338913,0.911483793403022,-0.570264469549538,-0.0172136536802572,-0.0102440452043073,-0.0303854007944159,0.170294635940283,0.0236166005930221,0.363963503449884,-0.0291384926616461,0.110391555813607,0.238447914871159,-0.204947250928641,-0.112470435745733,-0.0992068708819416,0.155406185654605,0.051316924537532,0.275001877462491,0.912866220907308,-0.111769075224966
1,10,-9832.84547549287,NA,-0.0491253357788771,-0.0568129866068393,-0.0202182725856738,-0.00593229816861381,-0.0309705889812255,0.254414500826644,-0.362349033772183,0.383907160590111,-0.151277340273099,0.104522641184453,-1.61636152243747,-0.0211079770420123,-0.70606135101813,0.161469025830738,0.297850301484577,0.946001373231411,0.00519579669496309,-0.22868384127805,-0.260162219758618,0.0540226212429555,0.0116230272992851,0.266976184736921,0.0765154027209539,0.287083182515483,-0.42461999033645,-0.322956351046122,-2.73643821114547,-0.00456242783128318,-0.442814549385382,0.94660987184383,0.47998535072431,0.438344059232622,0.153713998886893,-0.0754525977444412,-0.196105431915178,-0.141080313503659,0.143236865383484,0.00945275159327684,0.28802484528721,-0.279163086805356,0.225612734475806,-0.556538225780844,0.0235243492202967,-1.13641991050993,0.00723389693339217,-0.58212895801552,0.23725705913268,0.396468733516522,0.348480707430281,-0.524690500016907,0.0159820256360939,-0.0251744194399883,-0.0913347097304514,0.141284879917668,-0.00847608446870756,0.308306178006741,-0.148499464890101,0.827596795529268,-0.12527301769981,-0.0979405972502786,-1.82196334463167,-0.0755732540143512,-0.215802628994956,0.852498801480979,0.261678248187527,0.824645526581444,0.0511689722574494
1,11,-9561.12858952039,NA,-0.0417809629912746,-0.125698268753003,-0.269967530623023,0.151437675894396,0.0111494948484412,-0.104761992242752,-0.251729757074729,-0.306753575555337,-0.320560748428287,-0.134548953657592,-2.56519973957376,-0.0240609370063418,-0.848475616178635,0.318303458578885,0.365497044525109,0.961050546937622,-0.00709535941299289,-0.146033719054139,-0.209100656029328,0.118464389555628,0.0362060217778837,0.271768371681973,-0.187668553623863,0.272584501511232,-0.0962547474192473,-0.0370133589532108,-1.4779457630991,-0.0434108902126375,-0.0719759283342035,0.925065884073265,0.427044734284282,0.829392463453114,-0.37415591328665,-0.0948674999522158,-0.0354393989438786,-0.114203782808409,0.101610319391987,0.0383917027123315,0.00931257049038661,0.041872037290678,1.14230248436255,-0.136183909571058,0.104263985270243,0.593766160188553,-0.00780979566213619,-0.161823251774328,0.689758857227862,0.628908222932368,0.982804156821221,0.367826622447438,-0.000342598523968965,0.00560270431442983,0.0761959769027061,0.0481972349406491,0.0106049715462499,0.178433422907364,0.0228308998494529,0.34457976055083,-0.471095927331251,-0.233746482249133,-2.11834584695082,-0.0762086007634742,-0.680611537364472,0.593091454170644,0.841237039226107,0.504326841328293,-0.0890544492854221
