"row_num","gen_method","b_Price_1","b_Acceleration_1","b_OpCost_1","b_hev_1","b_phev20_1","b_phev40_1","b_bev_1","b_bevRangeRel_1","b_noBEVFC_1","b_american_1","b_chinese_1","b_japanese_1","b_skorean_1","b_Price_2","b_Acceleration_2","b_OpCost_2","b_hev_2","b_phev20_2","b_phev40_2","b_bev_2","b_bevRangeRel_2","b_noBEVFC_2","b_american_2","b_chinese_2","b_japanese_2","b_skorean_2","class_intercept_2","b_Price_3","b_Acceleration_3","b_OpCost_3","b_hev_3","b_phev20_3","b_phev40_3","b_bev_3","b_bevRangeRel_3","b_noBEVFC_3","b_american_3","b_chinese_3","b_japanese_3","b_skorean_3","class_intercept_3","b_Price_4","b_Acceleration_4","b_OpCost_4","b_hev_4","b_phev20_4","b_phev40_4","b_bev_4","b_bevRangeRel_4","b_noBEVFC_4","b_american_4","b_chinese_4","b_japanese_4","b_skorean_4","class_intercept_4","b_Price_5","b_Acceleration_5","b_OpCost_5","b_hev_5","b_phev20_5","b_phev40_5","b_bev_5","b_bevRangeRel_5","b_noBEVFC_5","b_american_5","b_chinese_5","b_japanese_5","b_skorean_5","class_intercept_5","b_Price_6","b_Acceleration_6","b_OpCost_6","b_hev_6","b_phev20_6","b_phev40_6","b_bev_6","b_bevRangeRel_6","b_noBEVFC_6","b_american_6","b_chinese_6","b_japanese_6","b_skorean_6","class_intercept_6","b_Price_7","b_Acceleration_7","b_OpCost_7","b_hev_7","b_phev20_7","b_phev40_7","b_bev_7","b_bevRangeRel_7","b_noBEVFC_7","b_american_7","b_chinese_7","b_japanese_7","b_skorean_7","class_intercept_7","b_Price_8","b_Acceleration_8","b_OpCost_8","b_hev_8","b_phev20_8","b_phev40_8","b_bev_8","b_bevRangeRel_8","b_noBEVFC_8","b_american_8","b_chinese_8","b_japanese_8","b_skorean_8","class_intercept_8","LL1","LL2","LL3","LL4","LL5","LL6","LL7","LL8","LL9","LL10","LL11","LL12","LL13","LL14","gradNorm1","gradNorm2","gradNorm3","gradNorm4","gradNorm5","gradNorm6","gradNorm7","gradNorm8","gradNorm9","gradNorm10","gradNorm11","gradNorm12","gradNorm13","gradNorm14","stop_ef","stop_status","pruned_optima_row","end_conv","end_LL","end_ef","end_outcome_status","end_index"
1,"beta_var_val",-0.065961032,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,-0.06530142168,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,0,-0.06464181136,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,0,-0.06398220104,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,0,-0.06332259072,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,0,-0.0626629804,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,0,-0.06200337008,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,0,-0.06134375976,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,0,-9336.29538525883,-8435.30073588935,-8097.49608426523,-7911.27702615959,-7878.33806735842,-7869.29111925394,-7860.48365335518,-7858.01821859524,-7857.5022038059,-7857.12905565878,-7856.94027170005,NA,NA,NA,NA,1636.39554011924,1108.22783304934,951.912186345729,349.213900357183,110.845700114915,222.822275758811,93.4467806553067,54.513140350976,27.2482586369347,0.465184199197592,NA,NA,NA,3,"test0_worse_conv",0,1,-7856.94027170005,3,"test0_worse_conv",1
2,"logit_random",-0.132912054426738,-0.0317514846597768,-0.296309833138667,0.132786088475688,0.0422129712608777,0.298561928959281,-0.403804848689593,0.582043518948123,-0.0697289753289601,-0.0357137987946508,-0.19267666316203,-0.088615234118855,-0.879291385688933,0.0161034727754064,-0.14300643230027,-0.219085681403495,0.0448505584388168,0.0445819028584534,-0.0968963278223813,0.0742113348941331,0.199852991309441,-0.40901879834951,-0.156459617862327,-0.626120200083052,-0.129548362074685,-0.572308082491704,-0.411438444428943,-0.0196457736782911,-0.0890946180257684,-0.136831136352058,0.0200321693121971,0.0544944997585236,0.330652953853276,-0.322585943420515,0.214078785505214,-0.0396036880109882,-0.316569393454969,-1.61314539394528,-0.204656895953924,-0.697784520600304,0.139229014289268,-0.0526088314602818,-0.0960081874916762,-0.246500480405638,-0.0845106628817289,0.0218992828088209,0.255184674165027,-0.239681840984654,0.436556277581906,-0.402222601911189,-0.120666940170637,-3.13068767468159,-0.0999620465589008,-0.538257981930754,-0.0976132249175668,-0.0975432265913721,-0.149845725542767,-0.0890127488366139,0.103064233088285,0.034735673873535,0.479907213622861,-0.359816105978662,-0.288694123130066,-0.724577383893027,-0.0458637807626067,-3.89196871375373,-0.0796914846351704,-0.446398899403431,0.800105294683018,0.0534185675481056,0.0214659083633301,-0.290248145966118,-0.0245715598072923,0.0174312102084907,0.209340949137928,-0.237563334352498,0.0735545667606181,-0.127342836154197,-0.0575303918740015,-0.770846970874358,-0.0856858148186442,0.0850419830134495,0.366226713477509,-0.00291595479037066,-0.091124368810716,-0.21887268438552,0.166207082831791,0.0282457880054541,0.115209005030718,0.118993900871834,0.474322900522988,-0.537582260191197,-0.209098984230638,-2.28756302993703,-0.148325573694955,-1.30213129892032,-0.28764293228556,-0.0498464075821925,0.0174050367745266,-0.221643575462335,0.126328425037595,-0.00553314940129206,0.170671996334091,-0.121068146000561,0.683580557468187,-0.578086511880425,-0.0748079230534035,-2.13833182576312,-0.0500298656546376,-0.71048302205385,0.266319305626618,-9159.35552394372,-8159.62183256466,-7986.52491662166,-7923.73175298604,-7908.73260386611,-7903.79106155634,-7902.30111320148,-7901.66647925369,-7901.36592109342,-7901.23179809341,-7901.13045217813,NA,NA,NA,NA,2788.44867706642,1653.20125475665,1235.36629353028,920.115246149128,479.675493458927,300.392839519001,130.776365662272,98.4829184032404,65.2904504977936,0.401811336013737,NA,NA,NA,3,"test0_worse_conv",0,1,-7901.13045217813,3,"test0_worse_conv",2
3,"logit_random",-0.0712139533661922,-0.234805109101998,-0.273897049079491,0.114851146604367,0.0381744072562988,0.378571213963414,-0.370823364526657,0.227134972848306,-0.373269956840957,0.0891524688009366,-1.16545357121991,-0.108728817826955,-0.542250373874088,-0.0299624723483824,-0.0970688627563771,0.00586526524147778,0.191129935593897,0.020672750306152,0.0504392782720251,-0.190651426552813,0.629343808184064,-0.487523458800146,-0.0115171395524975,-1.5219504580417,-0.0285121492537339,-0.353570165570644,0.31192601720029,0.0265154409420917,-0.0743185963098606,-0.269394514344351,-0.0565679745910986,0.0270619961115947,0.344170917598753,-0.104241009782473,0.534682752402336,-0.360180486387169,-0.111667617459065,-0.291359176390534,-0.0113835880951204,-0.84608720865681,0.491229407608098,-0.0991807166885581,-0.123379420452316,-0.286658182455408,0.0661195569369584,0.014443729508012,0.115983218444175,-0.352813796019,-0.171457840876389,-0.374950511897821,-0.0325468420881179,-0.964828422581982,0.0143323631626942,0.0912146084586811,0.558196947315878,-0.056492754299047,0.00373312411512525,-0.143163302431923,0.067310651441323,0.0321128037455531,0.40926506950425,0.292328199083635,0.307743137995464,0.03093633706064,-0.149439162056044,-1.15202353093514,-0.0284756682166367,-0.38576296037604,0.691705605201675,-0.0551429780323007,-0.058678408787251,-0.152141331553884,0.0485844524123974,0.0484196909147349,-0.0807748670182427,0.0920836963491383,-0.0710795908728792,0.0406037830036877,-0.132316546229078,-1.178030542152,-0.171430748447418,-0.710138773273101,0.384799681717511,0.00332688220025735,0.0891265720072959,-0.0705237449815763,0.0850320025223841,0.0181671046305901,0.120530189621882,-0.0334159603288741,-0.230444184737052,-0.409710915948198,-0.205691799205026,-0.90372300005244,-0.106804401905243,-0.121262758233615,-0.286172258377571,-0.0428467092102388,-0.0731430883482234,-0.0981335897367278,-0.0162444250552009,0.0287802924874166,0.0354971487015314,-0.164813294229088,0.459477709987322,-0.364710439135254,0.0362180440944525,-0.527533048992036,-0.081909791157838,-0.314079978670622,0.131677609346562,-9188.15463622299,-8252.48532182226,-8052.00078864574,-7994.26096924312,-7964.67294685259,-7949.87665794554,-7943.8147477147,-7941.24290720136,-7938.47281276056,-7936.78920861345,-7928.69257085313,-7928.48745972362,NA,NA,NA,1595.78969331374,941.865490973803,919.266758787095,590.785808141903,412.246773848642,119.064276687062,69.4973099126431,100.194656419301,93.049553247835,14.2116927659626,0.347733629945013,NA,NA,3,"test0_worse_conv",0,1,-7928.48745972362,3,"test0_worse_conv",3
4,"logit_random",-0.0813290964109317,-0.0850170225917828,-0.271688291044229,0.224291546742349,0.0277198951181197,0.431341707455648,-0.369073102379234,0.173860428772547,-0.228024405738469,-0.149035340552226,-0.931048438553067,-0.0276163435266425,-0.590285913209914,-0.0440562393955509,-0.0780637282607297,-0.201727401215915,0.0959757444715244,0.0337021090202143,-0.00105971253718584,-0.262822318655547,-0.000399982881298278,-0.352756893328809,-0.21892063776043,-1.18147131991273,-0.0484970163280335,-0.244347778067525,0.248445438112449,-0.0623902329470914,-0.181956612063617,-0.373846289300542,-0.0300960760524903,0.0288644606666618,0.0548348742843603,-0.17127301068739,0.790963620640238,-0.0573514926763387,-0.0315283502193515,-2.03814420352341,-0.122001478046403,-0.508740933839743,-0.341308546532507,-0.115573263680281,-0.0363649502466579,-0.262615588501092,0.0282784386171011,0.0206602463863979,0.186479042353183,-0.0987603462052051,0.614219755372189,-0.162594306962155,-0.140444804268703,-3.3478738748279,-0.126873583548877,-0.51249033987477,0.150175255794828,0.0326707320097049,0.138028570072554,0.0802521896211505,0.22156098489778,0.00713554735054935,0.16056132022432,-0.0314866649410756,0.112773065144388,-0.186374434468521,-0.153782000635321,-0.656646809615405,-0.0703530582828359,-0.604526740411021,0.378385657800397,-0.101970354260983,-0.213134607407264,-0.264524834965485,0.0203238517171426,0.0236863179339768,0.161888236551843,-0.70355608380038,0.462474658005847,-0.495093901947176,0.026793906292235,-1.42072597753899,-0.0407832069931151,-0.248620044611497,-0.434479862180259,-0.151673705635682,-0.0449599878032323,-0.209997925273382,0.0594023738539099,0.00947672910976789,0.0589652524934007,-0.743526719128122,0.314426922181526,0.243975793320037,-0.0427626974253114,-3.10108389906728,-0.0684207094700187,-0.976295406606654,-0.0973926782921367,-0.0434938278759502,-0.0147400268412668,-0.250515563428316,-0.0637731090560723,0.019171686629648,0.250267411750877,-0.25569605607648,0.455614972203585,0.289716947929933,-0.202222760995756,2.62461891234932,0.0895686820706718,-0.912449831565534,0.396012666338962,-9255.86873092779,-8115.46884306892,-7940.07030061576,-7901.66896479885,-7887.00167738295,-7876.55312986363,-7868.54992054155,-7867.31381122518,-7866.82823455915,-7866.74867013247,-7866.71070821138,NA,NA,NA,NA,1388.7251254442,830.530904303323,269.483860001925,236.833621923429,668.451498208775,185.931041025808,112.434182408967,49.1969025398445,21.0089062762812,1.49149075256188,NA,NA,NA,3,"test0_worse_conv",0,1,-7866.71070821138,3,"test0_worse_conv",4
5,"logit_random",-0.119868868325778,-0.112637238243265,0.172004990918167,-0.189186355726188,0.0313139797071506,-0.071663683817945,-0.249324755441883,0.420117241747908,-0.197547071821742,-0.170530928177282,-0.864594689040799,0.000910093078184897,-0.290098474826986,0.00662183290845868,0.00744485085009712,-0.225399439073841,0.144085190572459,0.0462963139127159,0.150599942831282,0.0315487990285536,0.268173850945952,-0.581733690849808,-0.0762506212467041,-2.22519719161509,-0.00124432398992742,-0.258966711873023,-0.362393592877076,-0.0825632103662118,-0.200019579884493,-0.114971509256003,0.115564601331127,0.0185604878427682,0.135394399629331,0.0245924647187162,0.351612170468734,-0.482718974258275,-0.184026053577353,-1.62713644822541,-0.0584541936064589,-0.169069801152463,-0.726973100524766,-0.0801688045440305,-0.0867252369681413,-0.134874900641084,0.0113105666503654,0.0300558226118017,0.139765660489014,-0.351030695533356,0.0474737898644145,0.0397179544477456,-0.0749511899609353,-0.723428258722688,-0.087188721205378,-0.239244892203772,-0.797360660865478,-0.0807326593451931,-0.224973713995315,-0.373191091259446,0.1566562722502,0.0331681821750483,0.0675784746070678,-0.311597208712246,0.34485656469245,-0.283261224876572,0.0607890147275058,-3.96608400253889,0.0204967872290421,-0.399513836010462,0.420049007133654,-0.198304548019594,-0.0365723052239868,-0.171915632961633,0.135917609428388,0.0231797268424339,0.210622409644647,0.0384352481772454,0.593525386187392,0.124681050715863,-0.111155843928109,-2.25617743872195,-0.13995318728251,-0.479403879151209,-0.596282982865444,-0.17854362009799,-0.0914944261047796,-0.012769259316464,0.150516074330597,0.031954001183623,0.0935415083246498,-0.137972455402893,0.477337977195967,-0.499889569155227,0.139311495390825,-1.35082761085192,-0.0695007849766283,-0.748231585597271,0.138176221652838,-0.0522219514643987,-0.0953393046095499,-0.124865342741062,-0.0176333500855119,0.033499027111637,-0.0220354368765179,-0.690493307877084,0.331177919693571,-0.380507031111841,0.0815775673495903,-1.12592154806225,-0.054079227346942,-0.592028324086873,0.33630707978761,-8828.37539095029,-8150.55343443998,-7979.66689348433,-7928.77863190768,-7916.19285772194,-7913.72288342434,-7912.74789619276,-7912.45758202155,-7912.10085564616,-7910.17273317003,-7908.26774951487,NA,NA,NA,NA,1274.67492592649,746.301313063937,613.956824668673,236.809748289165,146.748807122001,79.3942882667712,19.43434487826,45.8013863333748,89.0412579291705,0.169551225744547,NA,NA,NA,3,"test0_worse_conv",0,1,-7908.26774951487,3,"test0_worse_conv",5
6,"logit_random",-0.0150331234486085,-0.125035907847423,-0.356581028866325,0.0808707887999832,0.0309006254005847,-0.0532538010989543,-0.269500461194808,-0.137209704362502,-0.430794888604484,-0.0443790838185552,-1.93844873713301,-0.0209083487276567,-0.711581961994509,-0.131717494616134,0.0604026347388314,-0.352962593358962,0.0616107832310273,0.0250164051736542,-0.165708018034767,-0.196237410898384,0.152522383324248,-0.256450036097228,0.0192838301582185,-1.84172349106688,-0.0275634180492898,-0.252604282823492,0.974167328804263,-0.130562264616393,-0.0911659571809324,-0.228531922725798,0.141687625704384,0.0499563218851381,-0.252947835034684,-0.521840180807604,-0.0317089813251346,-0.11235889400138,-0.153561645664942,-0.401451320364618,-0.075230398227338,0.179059795006035,0.308893991209994,0.00181781436525325,-0.197313120376628,-0.213907576034476,0.0474457392582495,0.0166647635770063,-0.0347872053741393,-0.22084721190106,-0.163220429771919,-0.535625723980482,-0.245977446629703,-2.50793563573693,-0.0442777828853846,-0.769766031583518,-0.227476710474727,-0.094869665770862,-0.147875193351192,-0.26378058748806,0.0827156480366644,0.00601255826078003,-0.0400590679887817,-0.129040560115696,0.657429857714565,0.138217249684115,0.024019558932035,-0.320919132992204,-0.0301417040443941,0.0567032976319886,-0.302906241831931,-0.0575755992554717,-0.0765790333634424,-0.0746453164418323,0.0606333806327318,0.0367835296423117,0.104918133586641,-0.372385580696338,0.231116613824636,-0.631680380025245,-0.072829892994933,-1.37340228751217,-0.158605426783407,-0.603328267673507,0.878377172844504,-0.0767618389562491,-0.0976266588782312,-0.0959673004312186,0.162401577535164,-0.00671375155645351,0.266931517403418,-0.165328846237439,0.345320947137088,-0.395433185769556,0.0822531235604791,-0.519850467598631,-0.0581243403001927,-0.355618346845384,-0.397050005854642,0.0318672443872074,-0.140708643928883,0.0447036332911205,0.0355845097761224,0.0204162418467876,0.260237223886277,-0.318140662166071,0.612610973014316,0.027450242015055,-0.148970485558002,-3.73163800788388,-0.0519268143741695,0.142593477381835,-0.600963403388096,-8998.4300668278,-8154.86068493735,-7968.62240795653,-7894.16086062195,-7878.54832279994,-7872.12299931299,-7869.57050827691,-7867.29149321352,-7866.03387997394,-7865.71162194406,-7861.32183228062,-7859.28149147358,NA,NA,NA,3180.83007634092,991.014934159062,679.700818937126,290.07671862766,141.799061191668,63.1552942435763,78.8650684008258,65.1170264973851,22.0015021810115,81.7508775800112,0.39859946080174,NA,NA,3,"test0_worse_conv",0,1,-7859.28149147358,3,"test0_worse_conv",6
7,"logit_random",-0.0768849661652772,-0.0354723896420691,-0.0562927682073148,0.10796401963052,0.0185786177913368,0.231726483651997,-0.0574577462969998,0.154006055417125,-0.0344897094090248,0.0681299810604298,-1.6982422303855,-0.130301785656572,-1.3695024135264,-0.111699396472288,-0.0255700033633223,-0.226505027683829,-0.0327153770901309,0.00350040127762792,0.114338037414419,-0.738329751476687,0.1431641699757,-0.944853944104429,-0.188270665191689,-1.45499687734375,0.0174994100972843,-0.238201900659664,0.0243714461139861,-0.0287254653235611,0.0691861273335014,-0.0353885811213454,0.16214114502629,0.00114822328531979,-0.0939082950461254,-0.149104879371832,-0.60565855785109,-0.054388273787719,-0.202346558456827,-1.64525130967202,-0.159227439928688,0.335936163888847,0.70079396813078,-0.000460658165068364,0.00141581788910847,-0.0260694642081804,0.236752482861974,0.00496678456894115,0.194456427619509,-0.335034455085763,0.110744444401808,-0.0191921893908999,-0.15281473134889,-1.10241008811716,-0.101160977067535,-0.583741588312017,-0.323456130342135,-0.139925442093151,-0.0844542732060212,-0.192869074611625,-0.0708981450601313,0.0235642350312819,0.2977068226162,-0.0416982917896112,-0.00431674132810056,0.247354739670592,0.0951986693268777,-1.08727445787545,-0.0235482732838546,-0.673805388592632,0.444513930529968,-0.0350627954113561,-0.0307058614427909,-0.0509796087128211,-0.059502660757515,0.0359899085512094,0.122264618088904,0.0537345445978021,0.589125446701992,-0.106057604680722,-0.0758031318070724,-2.54163134108653,-0.0293919230704738,-0.594157154335343,0.244280114992433,-0.108932541418254,-0.130653160732444,-0.326755484615154,0.182422791784612,0.0238826768281586,0.17802771187007,-0.53525730226993,0.5907063990392,-0.272268180956691,-0.233310897018305,-1.28141160905726,-0.0888829718692406,-0.0784066064713624,-0.413352639585753,0.033762616371245,-0.0776627655048325,-0.229872602254789,0.0899296276770458,-0.00436765249822991,-0.028030175710579,-0.370495805642854,0.178359010723552,-0.390328383478763,-0.10833856834573,-2.40788117200162,-0.0879753086245742,0.208883698281447,-0.662995083613944,-8969.93357698504,-8170.43255885942,-8010.71552135426,-7896.32216498002,-7862.70572593697,-7852.93999613606,-7849.2210779005,-7848.3449410732,-7848.05686901505,-7847.95523557436,-7847.91018934782,NA,NA,NA,NA,928.499097809452,834.421661982509,633.334967854417,385.140011703959,311.620032638236,70.2817799710734,60.2780128458522,34.1978035945091,28.9326173044404,1.89478999518208,NA,NA,NA,3,"test0_worse_conv",0,1,-7847.91018934782,3,"test0_worse_conv",7
8,"logit_random",-0.00178923084774839,-0.185097531433486,-0.220358442049782,0.0156518250567884,-0.000126554478172395,0.20343364969201,-0.0384464571662388,0.776440620180598,-0.303334158763296,-0.276792064469876,-1.87471503022261,-0.0321885877326055,-0.02328686331162,-0.122737494794386,-0.0430189442287779,-0.0857939961226245,0.275003126649363,0.0355740339951453,0.345935654942174,-0.258698810632898,0.16875359039754,-0.0973447416537145,-0.173387458705918,-2.00591779801492,0.0792438172815093,-0.033052636033593,0.244916468545395,-0.036103680357657,-0.0443372358032059,-0.0650860929090515,0.100715722879491,0.017911976445016,0.121213695156744,-0.559319795849802,0.128318573370872,-0.253124899028917,-0.0507641328378153,-2.69269847388656,0.00307361857473858,-0.221444911365542,0.0338548370253471,-0.010273648688548,-0.133292732209211,-0.0537179824703735,0.0476264809437963,0.00570820227976454,0.207731419907731,-0.612718118814596,0.251646757100664,-0.197688199687305,-0.109650720374277,-0.468785126363084,-0.103274160234389,-0.302488593915729,0.206343825520777,-0.0876453591539836,0.0198654563583402,-0.229807799484415,0.0151321583732647,0.03376399289881,0.211500114774398,0.0271859364695964,0.0972135823192447,-0.473446791456616,-0.115471109480189,-2.9754559022603,-0.0731239876934798,-0.252418132730521,0.432066479916086,-0.116523420163172,-0.120997489472405,-0.150410614367041,0.0502406700107042,-0.00337438877301688,0.279900540425291,-0.0547811045304134,0.688649655113092,-0.28871644319395,-0.00448619558663603,-2.37167156272019,-0.123224142659422,-0.155215408136931,-0.196010054067699,-0.124350683422862,-0.154955480625752,-0.24881242739416,0.00842565055155554,0.0148997895133811,0.0881388061280585,-0.476948559797693,-6.47681501336761e-06,-0.158252228039574,-0.112119262900717,-1.53299976633555,-0.0516031414743182,-0.760448250766286,-0.507953846628145,-0.0655544810889443,-0.0847476985288332,0.0221489558372773,0.114202085176085,0.0262700678863096,0.132835874392438,-0.194957779717032,0.39704953037556,-0.697013928068539,-0.117202297140485,-0.306346122273379,-0.0730128413472827,-0.274967932483686,0.60489537613948,-8824.17094999983,-8122.78727611456,-7940.18142505794,-7875.19060443368,-7861.52181668306,-7860.10802213097,-7859.14178449144,-7857.66985609477,-7857.1587117043,-7856.99573886046,-7856.94519579312,NA,NA,NA,NA,938.709432348297,1075.12500159587,738.490463925568,166.317130387976,115.137406046129,71.4570399623087,60.5671945514164,24.1320935608659,32.5105599407912,4.29948050205203,NA,NA,NA,3,"test0_worse_conv",0,1,-7856.94519579312,3,"test0_worse_conv",8
9,"logit_random",0.0472633207333241,-0.124774153224788,0.0491830334351064,0.0789696282619649,0.00768180766790008,0.156342663689968,-0.0480607777235375,0.837521445185013,-0.0774713260657001,-0.1836797675187,0.644691656313983,-0.0890116111213439,-0.309425480854696,-0.139698040242505,-0.0469450019352201,-0.115145765483664,0.0889403339528782,0.00224321282912058,-0.0735708974014849,0.0273353967508481,0.146179308271307,-0.146344146430437,-0.121412310246954,1.31967267315926,-0.038773772255293,-0.94669174002542,1.02048694176939,-0.0965738596673578,-0.161867370731724,-0.145282707251197,0.0978004894102168,0.018991529550612,0.199495770550096,0.0775796542613049,0.299694084186507,-0.0027317259600429,-0.155366221531745,-0.806506773922836,-0.125851083604101,-0.151783375812882,-0.22374354478722,-0.0491401461931754,-0.276957144640474,-0.130469090415037,0.120147352282133,0.0277961486651231,0.0646363239464775,-0.067940364615419,0.619930628561018,-0.168916486154514,-0.0204772299056494,-0.127504433695524,-0.0379451179062356,-0.348594762575969,-0.511993379568201,-0.0280856135588969,-0.162444766196946,-0.0744505725719878,-0.00938730662721415,-0.00456165179733571,0.10351870596111,-0.312731489946552,0.949294402908606,-0.19201451413955,-0.179968646134308,-1.19740752460819,-0.00585369173806508,-0.0114122274660262,0.350860579276503,-0.0999128040214727,0.0162749624926238,-0.281902650410682,0.113024845493151,-0.0114670174883611,0.206740390229025,-0.511099308005311,0.494576054790069,-0.385983121647657,-0.141625192053834,0.267601836841716,-0.125157139085877,-0.612731282685484,-0.192613451111324,-0.10313713922331,-0.0685320909469657,-0.271715969641106,0.0528193799992543,0.0193796298264219,0.13724508092795,-0.237839218959155,0.362950670965776,-0.653771835577964,-0.188405148939343,-1.51233313604327,0.015750125394343,-1.71995846306068,-0.771641056138164,0.0180738563995969,-0.175091834043532,-0.0616728923039083,0.0229755753458588,0.0220567979303927,0.175097671147655,-0.258203890053542,-0.30984919185259,-0.320254605917657,0.08810101465416,-2.00785519862829,-0.0831705387632054,-0.216121367128557,-0.748127597320498,-9358.19374381723,-8111.27295731761,-7975.87568757796,-7920.01758266408,-7908.85344818379,-7902.04340372856,-7888.07140322451,-7883.87460734035,-7882.10488716604,-7880.20296578959,-7879.49443257561,NA,NA,NA,NA,1119.87591629212,765.889253287354,635.583651770198,238.89189756422,362.394691376847,277.626681779484,206.029449556882,91.7923968806492,69.6783545757302,0.15958694671888,NA,NA,NA,3,"test0_worse_conv",0,1,-7879.49443257561,3,"test0_worse_conv",9
10,"logit_random",-0.0491253357788771,-0.0568129866068393,-0.0202182725856738,-0.00593229816861381,-0.0309705889812255,0.254414500826644,-0.362349033772183,0.383907160590111,-0.151277340273099,0.104522641184453,-1.61636152243747,-0.0211079770420123,-0.70606135101813,-0.0191963149437918,0.0289751709096559,-0.287995380957043,0.138986089280855,0.00553305544596435,0.0672569877021545,-0.39650979082303,-0.0663545517514517,-0.478897668007193,-0.175385080232819,1.99775943482175,-0.122201722333,-0.515551363786241,0.586027588327361,-0.0465373077630161,-0.0887008451728812,-0.0855042392045542,0.0656109373399664,-0.00452933195213843,0.114292108263167,-0.0409996856041146,0.166707906101669,0.0419637916144767,-0.140414618501091,-1.51910585787082,-0.122861888595844,0.0815311473459432,0.0279155911789551,0.00801308032416084,-0.128544227276631,0.0884764690057466,0.0509885014225686,0.0279292614202427,-0.052849884454101,-0.519463168406304,0.423182660421318,-0.174680106293451,-0.0980342857025782,-1.8029204944313,-0.118341830118522,-0.28650998022987,0.187129053136205,-0.0706147926457694,0.0318725580054925,0.0428964098172211,0.190021470053317,-0.0384595639659223,0.146964847808216,-0.511785070836462,0.347934817665758,-0.472419657852739,-0.167402724640783,-1.02228640885008,-0.0746431130418421,-0.865425380867189,0.716135192319436,-0.0251046967678722,-0.189731504657201,-0.105143123477307,0.0598654080244347,0.0163745229627408,0.212328740689511,0.0579555696932551,0.214149822291802,-0.0387667620119868,-0.0567484524309273,-0.806965473514078,0.023266663619085,-0.539427768670126,-0.207581477428379,-0.0655396278581549,-0.28816612014968,-0.377658674511506,0.0682226294740974,0.0317650744678828,0.0847349132497042,-0.207947385687365,0.580786476857244,-0.105011506840596,-0.174781290231663,-0.573294559311584,-0.0212089458802131,-0.83292517132786,1.48056148029623,-0.018816767195748,0.00224539563240472,-0.0859512627392451,0.0251579678563017,0.0156354062228141,0.025553564471465,-0.303938725198103,0.303244015920181,-0.258284354944336,-0.265091201419176,-0.118356889209553,-0.10668644574583,-0.444178956435046,0.186700366573888,-9382.15154565936,-8123.98410557469,-7915.62892682201,-7884.93814192062,-7879.56234221832,-7878.5445253172,-7878.36617401873,-7878.34085127197,NA,NA,NA,NA,NA,NA,NA,1092.60552948762,1002.82019075767,412.56690827985,261.449754531781,87.0157868559576,30.9018587805313,4.63537512664596,NA,NA,NA,NA,NA,NA,3,"test0_worse_conv",0,1,-7878.34085127197,3,"test0_worse_conv",10
